ID,aqi
326340,168.53352305874637
326341,162.6903239713851
326342,165.16887333435773
326343,267.93070774847627
326344,268.85797156182844
326345,262.87815326432974
326346,261.3182540155937
326347,259.7665256668553
326348,170.70974119504075
326349,165.20011882096009
326350,172.53389898194118
326351,165.50602715739402
326352,173.1408937110888
326353,161.27952086231517
326354,276.0198417449755
326355,166.03445662987343
326356,159.56526764642905
326357,281.6143934860593
326358,163.8711648945215
326359,162.94165597622305
326360,131.93161835645614
326361,259.3325897365954
326362,159.17239568125777
326363,164.81035873450682
326364,170.73691119398697
326365,161.69271977320813
326366,165.1942634822403
326367,167.07826312955532
326368,265.62355378410575
326369,156.69301166744123
326370,152.87648731623855
326371,159.56288185599595
326372,277.30679485646385
326373,258.4481665711138
326374,269.47639372194215
326375,268.66901491560736
326376,261.7833714156267
326377,155.71512765765146
326378,230.9446985188069
326379,224.44118889970736
326380,223.27234360196718
326381,216.6837314259646
326382,223.60592164080822
326383,226.2135083330696
326384,342.3471462098188
326385,230.50648727617394
326386,342.1663660069133
326387,250.57144701666857
326388,223.92413775410174
326389,228.19474692517056
326390,359.5389214178192
326391,347.1547952970765
326392,347.5655767995966
326393,220.99767797199826
326394,342.20713407243045
326395,365.733421422186
326396,222.14234550222744
326397,150.20350503754534
326398,150.37502901725446
326399,149.3719463810213
326400,153.0957952357809
326401,271.856705863028
326402,159.98885304230453
326403,201.05341316407353
326404,154.08726485525335
326405,155.2472491198044
326406,258.31076519118074
326407,157.78276437243906
326408,258.73696251790705
326409,267.7321003122155
326410,265.8776404530857
326411,163.57445635496097
326412,149.50435972177556
326413,154.22837301708586
326414,276.8313365165242
326415,260.6834369438114
326416,163.67996882620506
326417,171.98646543103413
326418,176.3432463125969
326419,180.2944924512463
326420,170.94162943352475
326421,167.96689061950786
326422,172.95987144255685
326423,171.08093947816573
326424,320.18108595431767
326425,171.6378831306916
326426,170.34810994610422
326427,331.49293797892216
326428,312.39204366032
326429,308.60037581517315
326430,305.4130134675446
326431,311.7475318697237
326432,316.23501198792417
326433,215.69866572306142
326434,167.18980508673425
